,year,origin,destination,total_value,pct,pct_acum
139,2017,Germany,Italy,3690000000,14.542006595923155,14.542006595923155
131,2017,China,Germany,3116000000,12.279916681001774,26.821923276924927
160,2017,South Korea,Japan,2250000000,8.867077192636069,35.689000469560995
158,2017,Russia,Belorussia,1496000000,5.895621102303805,41.5846215718648
162,2017,USA,Belgium,1366000000,5.3833010867292765,46.96792265859408
137,2017,France,United Kingdom,1252000000,4.934035842302382,51.901958500896455
135,2017,China,USA,1220000000,4.8079263000071135,56.709884800903566
159,2017,Russia,Germany,1112000000,4.382306594760582,61.092191395664145
134,2017,China,Spain,859000000,3.385253025988615,64.47744442165276
164,2017,USA,Mexico,848000000,3.3419028708246166,67.81934729247737
153,2017,Japan,Mexico,735000000,2.8965785495944494,70.71592584207183
163,2017,USA,China,688000000,2.711355159348274,73.4272810014201
165,2017,USA,Netherlands,677000000,2.668005004184275,76.09528600560438
145,2017,Italy,Germany,665051000,2.6209149129065827,78.71620091851096
