,year,origin,destination,total_value,pct,pct_acum
237,2019,China,Mexico,6725000000,21.883806910304216,21.883806910304216
240,2019,France,Belgium,4961000000,16.143578599556758,38.02738550986098
262,2019,South Korea,Vietnam,2709000000,8.81535062007645,46.84273612993743
272,2019,USA,Brazil,2384000000,7.757768873481821,54.60050500341925
260,2019,Russia,China,1523000000,4.955990769426515,59.556495772845764
235,2019,Canada,Mexico,1279000000,4.161990935060087,63.71848670790585
261,2019,Russia,Turkey,1185000000,3.8561057529681033,67.57459246087396
271,2019,USA,Argentina,1151000000,3.745466431785896,71.32005889265986
253,2019,Japan,Mexico,818000000,2.6618519037366317,73.98191079639649
236,2019,China,Japan,815000000,2.6520896106911427,76.63400040708764
276,2019,United Kingdom,Spain,802025000,2.609867693269403,79.24386810035705
