,year,origin,destination,total_value,pct,pct_acum
80,2016,France,USA,2587000000,10.956554192082669,10.956554192082669
82,2016,Germany,China,2167000000,9.177755289618531,20.1343094817012
109,2016,Russia,Netherlands,1675000000,7.094019432446258,27.22832891414746
112,2016,South Korea,Japan,1602000000,6.784847242256062,34.013176156403524
79,2016,France,Spain,1455000000,6.162267626393615,40.17544378279714
115,2016,USA,Belgium,1005000000,4.256411659467754,44.43185544226489
77,2016,China,Spain,1003000000,4.247941188503639,48.67979663076853
114,2016,South Korea,USA,939000000,3.976886117651962,52.656682748420494
96,2016,Italy,Spain,871000000,3.688890104872054,56.345572853292545
78,2016,France,Italy,852000000,3.608420630712962,59.95399348400551
84,2016,Germany,Italy,851000000,3.6041853952309046,63.558178879236415
83,2016,Germany,France,787000000,3.3331303243792267,66.89130920361565
93,2016,Italy,Germany,750026000,3.176536727665634,70.06784593128128
91,2016,Italy,Croatia,699000000,2.9604296019581695,73.02827553323945
85,2016,Germany,USA,681000000,2.884195363281135,75.91247089652059
99,2016,Italy,United Kingdom,565000000,2.392908047362469,78.30537894388306
