,year,origin,destination,total_value,pct,pct_acum
286,2020,Canada,Mexico,6561000000,21.712052058624195,21.712052058624195
287,2020,China,Mexico,5018000000,16.605864537444933,38.317916596069125
317,2020,South Korea,Vietnam,2603000000,8.61400266858692,46.931919264656045
323,2020,USA,Argentina,2008000000,6.644993222636394,53.57691248729244
289,2020,China,USA,1742000000,5.764730176211454,59.34164266350389
297,2020,Japan,Brazil,1592000000,5.26834124025754,64.60998390376143
324,2020,USA,Singapore,1311000000,4.338439300237208,68.94842320399864
288,2020,China,Rusia,929000000,3.07430214334124,72.02272534733989
325,2020,United Kingdom,Belgium,815000000,2.697046552016266,74.71977189935615
304,2020,Netherlands,Belgium,706017000,2.336393515969163,77.05616541532531
302,2020,Mexico,USA,584000000,1.9326075906472382,78.98877300597255
